hub,fan_in,complaints,in_corpus,blacklist_finds
+15635210326,1,0,No,No
+18444250188,1,0,No,No
+16026101306,1,0,No,No
+16026101308,1,0,No,No
+18888869643,1,0,No,No
+18446075102,1,0,No,No
+14037220324,1,0,No,No
+13096226569,1,0,No,No
+18669591925,1,0,No,No
+18886267173,1,0,No,No
+18446120601,1,0,No,No
+18334698991,1,0,No,No
+18453623174,1,0,No,No
+18009220204,1,0,No,No
+18006132115,1,0,No,No
+18444812065,1,0,No,No
+18554927142,1,0,No,No
+18553689643,1,0,No,No
+18166522509,1,0,No,No
+18007764737,1,0,No,No
+18553346744,1,0,No,No
+14699147211,1,0,No,No
+18555151296,1,0,No,No
+14244443085,1,0,No,No
+15028246816,1,0,No,No
+18887040660,1,0,No,No
+18443911092,1,0,No,No
+18778211658,1,0,No,No
+19162598052,1,0,No,No
+18555351206,1,0,No,No
+19209740916,1,0,No,No
+17084642673,1,0,No,No
+16198250687,1,0,No,No
+12363302287,1,0,No,No
+17097275894,1,0,No,No
+18662214062,1,0,No,No
+18007977675,1,0,No,No
+18669376802,1,0,No,No
+18602616618,1,0,No,No
+18559766456,1,0,No,No
+18442662462,1,0,No,No
+18664372514,1,0,No,No
+18009875521,1,0,No,No
+13127413876,1,0,No,No
+17176816151,1,0,No,No
+14154983895,1,0,No,No
+18666601597,1,0,No,No
+15408220685,1,0,No,No
+18665351189,1,0,No,No
+18664544339,1,0,No,No
+17609255676,1,0,No,No
+18883715386,1,0,No,No
+18665960081,1,0,No,No
+16198585218,1,0,No,No
+19142020845,1,0,No,No
+15095538490,1,0,No,No
+18765422584,1,0,No,No
+17024475050,1,0,No,No
+18763037295,1,0,No,No
+18762998329,1,0,No,No
+18158254729,1,0,No,No
+18768410168,1,0,No,No
+17726478817,1,0,No,No
+18765719373,1,0,No,No
+17175539860,1,0,No,No
+18765714361,1,0,No,No
+18763627479,1,0,No,No
+17754105762,1,0,No,No
+19037403891,1,0,No,No
+12066667550,1,0,No,No
+18765297981,1,0,No,No
+17163048149,1,0,No,No
+18669965997,1,0,No,No
+18764856606,1,0,No,No
+17084444928,1,0,No,No
+18763564851,1,0,No,No
+18003924190,1,0,No,No
+18762773593,1,0,No,No
+18765956313,1,0,No,No
+15572047144,1,0,No,No
+12094182755,1,0,No,No
+18778335617,1,0,No,No
+14122749585,1,0,No,No
+12678314310,1,0,No,No
+18774291900,1,0,No,No
+19034392900,1,0,No,No
+18019619999,1,0,No,No
+18554394060,1,0,No,No
+16472456157,1,0,No,No
+16477002435,1,0,No,No
+15593429113,1,0,No,No
+18004838314,1,0,No,No
+19789905874,1,0,No,No
+15092508483,1,0,No,No
+16592234283,1,0,No,No
+18667421461,1,0,No,No
+14084955479,1,0,No,No
+19372041931,1,0,No,No
+18778058049,1,0,No,No
+12672131461,1,0,No,No
+12192888612,1,0,No,No
+16676536359,1,0,No,No
+18009452000,1,0,No,No
+18002788830,1,0,No,No
+18888467154,1,0,No,No
+12404206029,1,0,No,No
+12673009555,1,0,No,No
+18339290298,1,0,No,No
+16072892799,1,0,No,No
+18886956395,1,0,No,No
+12042909340,1,0,No,No
+14244263299,1,0,No,No
+16572307525,1,0,No,No
+18882257045,1,0,No,No
+19495918920,1,0,No,No
+15203761270,1,0,No,No
+18886930720,1,0,No,No
+18886851179,1,0,No,No
+14059826725,1,0,No,No
+19043375395,1,0,No,No
+18555995575,1,0,No,No
+18332511496,1,0,No,No
+18004596415,1,0,No,No
+19058593630,1,0,No,No
+11855358535,1,0,No,No
+18888837094,1,0,No,No
+18666035032,1,0,No,No
+16083716666,1,0,No,No
+18552166496,1,0,No,No
+16199351070,1,0,No,No
+19145306504,1,0,No,No
+18883249086,1,0,No,No
+18887087953,1,0,No,No
+19177087653,1,0,No,No
+19173989605,1,0,No,No
+19192462447,1,0,No,No
+17028277268,1,0,No,No
+18558974927,1,0,No,No
+18558974967,1,0,No,No
+18669590927,1,0,No,No
+19292203212,1,0,No,No
+18668343206,1,0,No,No
+18662660878,1,0,No,No
+18663760276,1,0,No,No
+18335942101,1,0,No,No
+15614120097,1,0,No,No
+18668279833,1,0,No,No
+18885790765,1,0,No,No
+18663657157,1,0,No,No
+18664057172,1,0,No,No
+13213783832,1,0,No,No
+19547434255,1,0,No,No
+17705101670,1,0,No,No
+19723317540,1,0,No,No
+19729371672,1,0,No,No
+18774779205,1,0,No,No
+18442573931,1,0,No,No
+18776128332,1,0,No,No
+18338051321,1,0,No,No
+18775183334,1,0,No,No
+18774725560,1,0,No,No
+18333859445,1,0,No,No
+18558425860,1,0,No,No
+18449398898,1,0,No,No
+18559090842,1,0,No,No
+18666035075,1,0,No,No
+18445996996,1,0,No,No
+18772713249,1,0,No,No
+13072881516,1,0,No,No
+16199351051,9,10,Yes,Maybe
+18668789928,6,18,Yes,Maybe
+16813249414,6,1,Yes,Maybe
+18775804552,5,1,Yes,Maybe
+18775800338,5,1,Yes,Maybe
+18449867272,5,6,Yes,Maybe
+18444875755,5,3,Yes,Maybe
+18337277904,5,3,Yes,Maybe
+18445093152,4,4,Yes,Maybe
+18559090590,3,1,Yes,Maybe
+18775804884,3,34,Yes,Maybe
+18669591349,2,5,Yes,Maybe
+18445092754,2,1,Yes,Maybe
+18559090933,2,3,Yes,Maybe
+18335883796,2,3,Yes,Maybe
+18559090876,2,1,Yes,Maybe
+18335883794,2,1,Yes,Maybe
+18335883808,2,3,Yes,Maybe
+18009188520,2,27,Yes,Maybe
+12124624262,1,30,Yes,Maybe
+14024095484,1,1,Yes,Maybe
+18888038054,1,4,Yes,Maybe
+19845846446,1,1,Yes,Maybe
+18559090836,1,1,Yes,Maybe
+18446075103,1,40,Yes,Maybe
+18448508881,1,40,Yes,Maybe
+18447230844,1,34,Yes,Maybe
+18445093132,1,1,Yes,Maybe
+18668221798,1,23,Yes,Maybe
+14193828489,1,1,Yes,Maybe
+15204423300,1,2,Yes,Maybe
+12134516575,1,1,Yes,Maybe
+13074106071,1,1,Yes,Maybe
+19172107226,1,2,Yes,Maybe
+14343229679,1,2,Yes,Maybe
+18773103884,1,1,Yes,Maybe
+16197048537,1,8,Yes,Maybe
+19497032249,1,1,Yes,Maybe
+18559090822,1,5,Yes,Maybe
+16469951811,1,1,Yes,Maybe
+18164351000,1,0,Yes,Maybe
+18445093316,1,1,Yes,Maybe
+13143388838,1,1,Yes,Maybe
+18669066379,1,5,Yes,Maybe
+14097617631,1,43,Yes,Maybe
+18002109011,1,162,Yes,Maybe
+18005445315,1,9,Yes,Maybe
+19517036544,1,2,Yes,Maybe
+18883894777,1,1,Yes,Maybe
+15186099679,1,1,Yes,Maybe
+13156459216,1,1,Yes,Maybe
+18008270869,1,41,Yes,Maybe
+18445093160,1,1,Yes,Maybe
+18559090850,1,1,Yes,Maybe
+14844736477,1,1,Yes,Maybe
+18445997871,1,10,Yes,Maybe
+19525620902,1,2,Yes,Maybe
+16513838280,1,15,Yes,Maybe
+18147312132,1,1,Yes,Maybe
+12512406660,1,16,Yes,Maybe
+18449865454,1,14,Yes,Maybe
+18665923689,1,1,Yes,Maybe
+18559266692,1,12,Yes,Maybe
+18337955753,1,56,Yes,Maybe
+18884090446,1,2,Yes,Maybe
+12489065609,1,3,Yes,Maybe
+18334872508,1,2,Yes,Maybe
+18775581613,1,0,Yes,Maybe
+18003791050,1,13,Yes,Maybe
+18449894916,1,1,Yes,Maybe
+18772890054,1,1,Yes,Maybe
+16038646488,1,43,Yes,Maybe
+18445411117,1,4,Yes,Maybe
+18083516917,1,2,Yes,Maybe
+18888009030,1,29,Yes,Maybe
+18032107352,1,1,Yes,Maybe
+18882192749,1,14,Yes,Maybe
+18337642704,1,2,Yes,Maybe
+18669590960,1,7,Yes,Maybe
+19172107680,1,3,Yes,Maybe
+18555070298,1,30,Yes,Maybe
+18334530406,1,1,Yes,Maybe
+18559090937,1,0,Yes,Maybe
+15188195467,1,2,Yes,Maybe
+12676526536,1,2,Yes,Maybe
+15207020644,1,1,Yes,Maybe
+16412722048,1,2,Yes,Maybe
+12679542897,1,24,Yes,Maybe
+12624645935,1,1,Yes,Maybe
+13852571518,1,1,Yes,Maybe
+13479149353,1,1,Yes,Maybe
+18669591033,1,2,Yes,Maybe
+18559052577,1,4,Yes,Maybe
+18333660127,1,33,Yes,Maybe
+18339087524,1,8,Yes,Maybe
+12678771536,1,2,Yes,Maybe
+17712226422,1,1,Yes,Maybe
+16208288232,1,1,Yes,Maybe
+18888434492,1,14,Yes,Maybe
+19736298223,1,1,Yes,Maybe
+18884258636,1,1,Yes,Maybe
+18558732369,1,0,Yes,Maybe
+18667450065,1,1,Yes,Maybe
+18885321189,1,1,Yes,Maybe
+18006698488,1,247,Yes,Maybe
+18665020430,1,6,Yes,Maybe
+12025520737,1,1,Yes,Maybe
+19785471086,1,4,Yes,Maybe
+16802054146,1,1,Yes,Maybe
+18339527939,1,9,Yes,Maybe
+16208444973,1,1,Yes,Maybe
+18882291903,1,0,Yes,Maybe
+18303650167,1,1,Yes,Maybe
+18335883806,1,3,Yes,Maybe
+15636330051,1,1,Yes,Maybe
+15863290038,1,1,Yes,Maybe
+18882168029,1,1,Yes,Maybe
+19592739792,1,1,Yes,Maybe
+12675105207,1,1,Yes,Maybe
+19709555170,1,1,Yes,Maybe
+14806021219,1,1,Yes,Maybe
+18558332034,1,3,Yes,Maybe
+18775853481,1,17,Yes,Maybe
+14046182720,1,4,Yes,Maybe
+18883621329,1,10,Yes,Maybe
