rank,size,corpus_nodes,shadow_nodes,top_call_type,homogeneity
503,3,1,2,Scam suspicion,1.0
504,3,3,0,Scam suspicion,1.0
505,3,1,2,Scam suspicion,1.0
506,3,1,2,Debt collector,1.0
507,3,2,1,Survey,1.0
508,3,1,2,Event reminder,1.0
509,3,1,2,Scam suspicion,1.0
510,3,2,1,Scam suspicion,1.0
511,3,2,1,Scam suspicion,1.0
512,3,1,2,Telemarketer,1.0
513,3,1,2,Debt collector,1.0
514,3,1,2,Scam suspicion,1.0
515,3,1,2,Scam suspicion,1.0
516,3,3,0,Text message,1.0
517,3,2,1,Scam suspicion,0.5
518,3,1,2,Scam suspicion,1.0
519,3,1,2,Scam suspicion,1.0
520,3,2,1,Scam suspicion,0.5
521,3,3,0,Scam suspicion,0.6667
522,3,1,2,Scam suspicion,1.0
523,3,2,1,Scam suspicion,0.5
524,3,1,2,Scam suspicion,1.0
525,3,3,0,Scam suspicion,1.0
526,3,3,0,Scam suspicion,0.6667
527,3,1,2,Scam suspicion,1.0
528,3,1,2,Debt collector,1.0
529,3,3,0,Scam suspicion,1.0
530,3,1,2,Scam suspicion,1.0
531,3,1,2,Fax,1.0
532,3,3,0,Scam suspicion,1.0
533,3,2,1,Scam suspicion,0.5
534,3,2,1,Unwanted,1.0
535,3,2,1,Text message,0.5
536,3,2,1,Text message,0.5
537,3,2,1,Scam suspicion,1.0
538,3,2,1,Scam suspicion,0.5
539,3,1,2,Scam suspicion,1.0
540,3,1,2,Scam suspicion,1.0
541,3,1,2,Valid,1.0
542,3,1,2,Scam suspicion,1.0
543,3,1,2,Scam suspicion,1.0
544,3,2,1,Fax,1.0
545,3,1,2,Unknown,1.0
546,3,1,2,Debt collector,1.0
547,3,2,1,Scam suspicion,0.5
548,3,2,1,Scam suspicion,1.0
549,3,2,1,Scam suspicion,1.0
550,3,2,1,Scam suspicion,0.5
551,3,2,1,Scam suspicion,1.0
552,3,3,0,Scam suspicion,1.0
553,3,2,1,Telemarketer,1.0
554,3,2,1,Scam suspicion,1.0
555,3,1,2,Scam suspicion,1.0
556,3,1,2,Unwanted,1.0
557,3,2,1,Unwanted,1.0
558,3,1,2,Scam suspicion,1.0
559,3,1,2,Scam suspicion,1.0
560,3,1,2,Scam suspicion,1.0
561,3,1,2,Debt collector,1.0
562,3,1,2,Scam suspicion,1.0
563,3,2,1,Debt collector,0.5
564,3,2,1,Unknown,0.5
565,3,1,2,Scam suspicion,1.0
566,3,2,1,Scam suspicion,0.5
567,3,1,2,Silent call,1.0
568,3,2,1,Valid,0.5
569,3,3,0,Scam suspicion,1.0
570,3,3,0,Text message,1.0
571,3,3,0,Telemarketer,1.0
572,3,2,1,Unwanted,0.5
573,3,1,2,Debt collector,1.0
574,3,1,2,Scam suspicion,1.0
575,3,1,2,Unwanted,1.0
576,3,1,2,Scam suspicion,1.0
577,3,2,1,Scam suspicion,1.0
578,3,1,2,Scam suspicion,1.0
579,3,1,2,Debt collector,1.0
580,3,2,1,Survey,1.0
581,3,1,2,Unknown,1.0
582,3,1,2,Fax,1.0
583,3,1,2,Telemarketer,1.0
584,3,2,1,Text message,1.0
585,3,1,2,Debt collector,1.0
586,3,1,2,Telemarketer,1.0
587,3,1,2,Survey,1.0
588,3,1,2,Scam suspicion,1.0
589,3,3,0,Scam suspicion,1.0
590,3,1,2,Debt collector,1.0
591,3,1,2,Debt collector,1.0
592,3,3,0,Telemarketer,1.0
593,3,1,2,Scam suspicion,1.0
594,3,1,2,Telemarketer,1.0
595,3,1,2,Scam suspicion,1.0
596,3,2,1,Scam suspicion,1.0
597,3,3,0,Scam suspicion,1.0
598,3,2,1,Scam suspicion,1.0
599,3,1,2,Scam suspicion,1.0
600,3,3,0,Scam suspicion,1.0
601,3,3,0,Scam suspicion,1.0
602,3,1,2,Debt collector,1.0
603,3,3,0,Scam suspicion,1.0
604,3,1,2,Scam suspicion,1.0
605,3,1,2,Scam suspicion,1.0
606,3,3,0,Scam suspicion,1.0
607,3,2,1,Scam suspicion,1.0
608,3,1,2,Scam suspicion,1.0
609,3,2,1,Scam suspicion,1.0
610,3,1,2,Scam suspicion,1.0
611,3,3,0,Scam suspicion,1.0
612,3,3,0,Scam suspicion,0.6667
613,3,1,2,Scam suspicion,1.0
614,3,1,2,Unwanted,1.0
615,3,1,2,Telemarketer,1.0
616,3,1,2,Scam suspicion,1.0
617,3,1,2,Telemarketer,1.0
618,3,1,2,Scam suspicion,1.0
619,3,1,2,Scam suspicion,1.0
620,3,2,1,Scam suspicion,0.5
621,3,1,2,Fax,1.0
622,3,2,1,Scam suspicion,0.5
623,3,1,2,Fax,1.0
624,3,1,2,Prank,1.0
625,3,2,1,Scam suspicion,1.0
626,3,1,2,Prank,1.0
627,3,1,2,Scam suspicion,1.0
628,3,2,1,Scam suspicion,1.0
629,3,2,1,Scam suspicion,0.5
630,3,2,1,Unknown,0.5
631,3,2,1,Scam suspicion,1.0
632,3,2,1,Scam suspicion,1.0
633,3,1,2,Scam suspicion,1.0
634,3,2,1,Telemarketer,0.5
635,3,1,2,Scam suspicion,1.0
636,3,2,1,Silent call,0.5
637,3,1,2,Debt collector,1.0
638,3,1,2,Debt collector,1.0
639,3,1,2,Scam suspicion,1.0
640,3,1,2,Scam suspicion,1.0
641,3,1,2,Scam suspicion,1.0
642,3,1,2,Scam suspicion,1.0
643,3,2,1,Scam suspicion,1.0
644,3,2,1,Scam suspicion,1.0
645,3,2,1,Valid,0.5
646,3,1,2,Telemarketer,1.0
647,3,1,2,Valid,1.0
648,3,1,2,Telemarketer,1.0
649,3,1,2,Fax,1.0
650,3,3,0,Unknown,0.6667
651,3,1,2,Prank,1.0
652,3,1,2,Telemarketer,1.0
653,3,2,1,Scam suspicion,1.0
654,3,1,2,Scam suspicion,1.0
655,3,3,0,Scam suspicion,1.0
656,3,1,2,Telemarketer,1.0
657,3,1,2,Debt collector,1.0
658,3,1,2,Telemarketer,1.0
659,3,1,2,Debt collector,1.0
660,3,1,2,Scam suspicion,1.0
661,3,3,0,Scam suspicion,1.0
662,3,2,1,Scam suspicion,1.0
663,3,1,2,Silent call,1.0
664,3,1,2,Political call,1.0
665,3,1,2,Telemarketer,1.0
666,3,1,2,Debt collector,1.0
667,3,3,0,Scam suspicion,1.0
668,3,2,1,Scam suspicion,1.0
669,3,1,2,Scam suspicion,1.0
670,3,1,2,Telemarketer,1.0
671,3,2,1,Scam suspicion,1.0
672,3,2,1,Debt collector,0.5
673,3,2,1,Text message,1.0
674,3,3,0,Telemarketer,1.0
675,3,3,0,Scam suspicion,1.0
676,3,1,2,Telemarketer,1.0
677,3,1,2,Telemarketer,1.0
678,3,1,2,Scam suspicion,1.0
679,3,3,0,Scam suspicion,1.0
680,3,3,0,Scam suspicion,1.0
681,3,3,0,Scam suspicion,1.0
682,3,2,1,Scam suspicion,1.0
683,3,3,0,Scam suspicion,1.0
684,3,1,2,Unwanted,1.0
685,3,1,2,Unknown,1.0
686,3,1,2,Telemarketer,1.0
687,3,1,2,Debt collector,1.0
688,3,1,2,Scam suspicion,1.0
689,3,1,2,Survey,1.0
690,3,1,2,Text message,1.0
691,3,1,2,Scam suspicion,1.0
692,3,1,2,Debt collector,1.0
693,3,2,1,Debt collector,1.0
694,3,1,2,Debt collector,1.0
695,3,1,2,Scam suspicion,1.0
696,3,1,2,Unwanted,1.0
697,3,1,2,Scam suspicion,1.0
698,3,2,1,Unknown,0.5
699,3,1,2,Scam suspicion,1.0
700,3,1,2,Scam suspicion,1.0
701,3,1,2,Telemarketer,1.0
702,3,1,2,Telemarketer,1.0
703,3,1,2,Scam suspicion,1.0
704,3,1,2,Silent call,1.0
705,3,1,2,Scam suspicion,1.0
706,3,1,2,Scam suspicion,1.0
707,3,2,1,Scam suspicion,1.0
708,3,1,2,Scam suspicion,1.0
709,3,1,2,Debt collector,1.0
710,3,1,2,Scam suspicion,1.0
711,3,1,2,Unknown,1.0
712,3,1,2,Debt collector,1.0
713,3,1,2,Scam suspicion,1.0
714,3,1,2,Scam suspicion,1.0
715,3,1,2,Scam suspicion,1.0
716,3,1,2,Scam suspicion,1.0
717,3,1,2,Scam suspicion,1.0
718,3,1,2,Debt collector,1.0
719,3,3,0,Scam suspicion,0.6667
720,3,1,2,Scam suspicion,1.0
721,3,2,1,Scam suspicion,1.0
722,3,1,2,Telemarketer,1.0
723,3,1,2,Scam suspicion,1.0
724,3,1,2,Scam suspicion,1.0
725,3,2,1,Debt collector,0.5
726,3,2,1,Scam suspicion,1.0
727,3,1,2,Debt collector,1.0
728,3,2,1,Scam suspicion,1.0
729,3,1,2,Valid,1.0
730,3,1,2,Debt collector,1.0
731,3,2,1,Scam suspicion,1.0
732,3,1,2,Scam suspicion,1.0
733,3,1,2,Scam suspicion,1.0
